amfi_code,HHI,HHI_10000,scheme_name,category,sub_category
119092,0.29676908999999996,2967.6908999999996,Axis Bluechip Fund - Regular - Growth,Equity,Large Cap
148569,0.25499194,2549.9193999999998,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,ELSS
125498,0.253155,2531.55,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Mid Cap
102887,0.25138255,2513.8255,UTI Flexi Cap Fund - Regular - Growth,Equity,Flexi Cap
149323,0.24107663999999998,2410.7664,DSP Midcap Fund - Regular - Growth,Equity,Mid Cap
120505,0.23869504,2386.9504,ICICI Pru Midcap Fund - Regular - Growth,Equity,Mid Cap
118635,0.23749677,2374.9677,Nippon India ETF Nifty 50 BeES,Equity,Index/ETF
119599,0.2323612,2323.612,SBI Small Cap Fund - Direct Plan - Growth,Equity,Small Cap
120506,0.23146434,2314.6434,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Value
100033,0.22764743999999998,2276.4743999999996,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Mid Cap
119552,0.22750834999999997,2275.0834999999997,SBI Bluechip Fund - Direct Plan - Growth,Equity,Large Cap
101207,0.22272651000000002,2227.2651,ABSL Small Cap Fund - Regular - Growth,Equity,Small Cap
120504,0.22121302999999998,2212.1303,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Large Cap
118633,0.22120031999999998,2212.0031999999997,Nippon India Large Cap Fund - Direct - Growth,Equity,Large Cap
148568,0.21808584999999997,2180.8585,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Large & Mid Cap
120841,0.21589315000000003,2158.9315,Kotak Bluechip Fund - Regular - Growth,Equity,Large Cap
118632,0.20725894,2072.5894,Nippon India Large Cap Fund - Regular - Growth,Equity,Large Cap
148567,0.20124815000000001,2012.4815,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Large Cap
149324,0.18870081999999996,1887.0081999999995,DSP Small Cap Fund - Regular - Growth,Equity,Small Cap
119598,0.18808485000000003,1880.8485000000003,SBI Small Cap Fund - Regular Plan - Growth,Equity,Small Cap
119093,0.18423319999999999,1842.3319999999999,Axis Bluechip Fund - Direct - Growth,Equity,Large Cap
149322,0.18269533,1826.9533,DSP Top 100 Equity Fund - Regular - Growth,Equity,Large Cap
120503,0.1821675,1821.6750000000002,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Large Cap
102885,0.18071201999999997,1807.1201999999998,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Index
100016,0.18058807999999998,1805.8808,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Large Cap
101206,0.18004225000000001,1800.4225000000001,ABSL Frontline Equity Fund - Regular - Growth,Equity,Large Cap
119094,0.17510024999999999,1751.0024999999998,Axis Midcap Fund - Regular - Growth,Equity,Mid Cap
125497,0.17241088,1724.1088,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Large Cap
120842,0.16206189,1620.6189,Kotak Emerging Equity Fund - Regular - Growth,Equity,Mid Cap
118634,0.16029924,1602.9924,Nippon India Small Cap Fund - Regular - Growth,Equity,Small Cap
119095,0.15958229000000002,1595.8229000000001,Axis Small Cap Fund - Regular - Growth,Equity,Small Cap
119551,0.14249103999999999,1424.9103999999998,SBI Bluechip Fund - Regular Plan - Growth,Equity,Large Cap
120843,0.13620616000000002,1362.0616000000002,Kotak Flexicap Fund - Regular - Growth,Equity,Flexi Cap
102886,0.12402024,1240.2024000000001,UTI Mid Cap Fund - Regular - Growth,Equity,Mid Cap
