amfi_code,scheme_name,fund_house,return_3yr_pct,expense_ratio_pct,sharpe_ratio,alpha,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,score
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,18.08,1.36,1.1801011976606495,0.2926358334175106,-0.18188513572116294,8.0,5.0,3.0,15.0,25.0,79.49
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,15.65,1.45,1.3067439695428407,0.27330465038306057,-0.1297396816518679,11.0,2.0,5.0,22.0,13.0,78.46
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,16.58,1.38,1.0936987435346308,0.2719535450128533,-0.16217208574644848,10.0,7.0,6.0,17.0,20.0,75.64
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,23.39,1.43,0.9453082575156093,0.3033696538698332,-0.2870600572176455,1.0,14.0,1.0,21.0,36.0,75.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,14.81,1.46,1.4482911703262595,0.2698375144191807,-0.11265729075028275,17.0,1.0,7.0,23.0,8.0,74.36
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,20.08,1.52,0.9497958246616031,0.3005787817097677,-0.31171900300634214,6.0,13.0,2.0,26.5,37.0,68.91
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,17.16,1.61,1.1321218524747245,0.26598577542043045,-0.17248105753451382,9.0,6.0,8.0,38.0,22.0,67.44
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,14.41,0.8,1.0265242847993004,0.2119482701352573,-0.12588275606922517,20.0,10.0,13.0,12.0,12.0,66.41
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,15.18,1.38,0.9982309868636414,0.2607666908004223,-0.20960883862039192,15.0,11.0,9.0,17.0,28.0,65.64
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,13.58,1.6,1.2349300257743296,0.2827036785246582,-0.1639674294693263,23.0,3.0,4.0,36.5,21.0,61.47
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,14.0,1.51,1.0816591793457044,0.21829397904608644,-0.17414075086657232,21.0,8.0,11.0,24.5,23.0,60.32
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,12.36,1.54,1.2082665673727175,0.23201007160635082,-0.1501238549864533,26.0,4.0,10.0,30.5,17.0,58.78
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,13.78,1.6,1.0272133278753697,0.21399784776051212,-0.11291596329323073,22.0,9.0,12.0,36.5,9.0,57.37
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,11.3,0.66,0.9532794968660103,0.1986859936686296,-0.11803493502764295,34.0,12.0,15.0,4.0,11.0,56.67
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.56,1.52,0.9262873467360146,0.20873010086942337,-0.1527259422823477,19.0,15.0,14.0,26.5,19.0,56.09
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,13.38,0.92,0.7757902498211207,0.17729754927531766,-0.15200013055606398,24.0,18.0,16.0,14.0,18.0,54.36
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,20.15,1.53,0.4484340089089914,0.1750072167561127,-0.2334488614483311,5.0,26.0,18.0,28.5,32.0,53.65
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,14.76,1.41,0.6488787755249532,0.1625385327998104,-0.1982565826298267,18.0,20.0,20.0,19.0,27.0,51.41
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,15.29,0.78,0.3006119210425478,0.11989100971217971,-0.21117279560132118,14.0,27.0,26.0,10.0,29.0,49.87
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,23.14,0.72,-0.05718662582817997,0.048824215945539845,-0.5257422117012851,2.0,32.0,36.0,5.5,40.0,49.68
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,12.33,0.72,0.6452074382933215,0.15643835948169668,-0.18629743138595511,27.0,21.0,22.0,5.5,26.0,48.27
