amfi_code,observations,VaR_95,CVaR_95
100016,1149.0,-0.014363639988111142,-0.01806020763217176
100025,1149.0,-0.003793246199522682,-0.004993763020560281
100033,1149.0,-0.019033535861558825,-0.023455762770703794
101206,1149.0,-0.013281661986281489,-0.017439425687129195
101207,1149.0,-0.026021248221061066,-0.03245905898704435
101208,1149.0,-0.0002686575130400159,-0.0004220820655857685
102885,1149.0,-0.01261262882069356,-0.01549040525311211
102886,1149.0,-0.01922028344426503,-0.023250860269221213
102887,1149.0,-0.015231617279157872,-0.019411182679158694
118632,1149.0,-0.013954045870018117,-0.017618579320162156
118633,1149.0,-0.013442525143024242,-0.016630178254004827
118634,1149.0,-0.025438111458963106,-0.032304072697818535
118635,1149.0,-0.012553697284754662,-0.01617696049480912
118636,1149.0,-0.003804146068944347,-0.004918918420478294
119092,1149.0,-0.013749592076363814,-0.017327870956436054
119093,1149.0,-0.014225516634796053,-0.01748670974901306
119094,1149.0,-0.018480276243938307,-0.02426005947837057
119095,1149.0,-0.02618842440959035,-0.03166729360598028
119120,1149.0,-0.003938283121850805,-0.005013693153022244
119551,1149.0,-0.012846228628842571,-0.01639680693408763
119552,1149.0,-0.013500970479935082,-0.017335699664199813
119598,1149.0,-0.0245070519056771,-0.03059526410880242
119599,1149.0,-0.02685943514961382,-0.03238412245049217
120503,1149.0,-0.01355001716250348,-0.01745055416552432
120504,1149.0,-0.013728193295939772,-0.017494143685606606
120505,1149.0,-0.01889178619869274,-0.02434207039551981
120506,1149.0,-0.014388462899080912,-0.01940489860249691
120507,1149.0,-0.00022157351389344714,-0.00037258039979649643
120841,1149.0,-0.013141782186804063,-0.01636273661834337
120842,1149.0,-0.01821853045255608,-0.02272497526268088
120843,1149.0,-0.014507941385630474,-0.018381077688017156
120844,1149.0,-0.00028479272823556107,-0.00041099591933232505
125497,1149.0,-0.014591769071140459,-0.018309885328057912
125498,1149.0,-0.018365320169601018,-0.02309379305316794
148567,1149.0,-0.01355977641751056,-0.017622879905822203
148568,1149.0,-0.014711531333512795,-0.01876476958423089
148569,1149.0,-0.017118192655621135,-0.021328305810328105
149322,1149.0,-0.014473851983792741,-0.018401747612732604
149323,1149.0,-0.017882076201903473,-0.02260664210042033
149324,1149.0,-0.023483069386777154,-0.03103625202188441
